horizon,model,MAE,RMSE,R2,F1_macro,test_rows,train_rows,valid_rows,elapsed_seconds_for_horizon,rank_mae
1,Random Forest,3.47,6.24,0.9109,0.5692,4232,14811,2117,52.83,1
1,LightGBM,3.49,6.3,0.9093,0.5673,4232,14811,2117,52.83,2
1,XGBoost,3.51,6.31,0.9091,0.5726,4232,14811,2117,52.83,3
1,Linear Regression,3.59,6.48,0.9039,0.6172,4232,14811,2117,52.83,4
1,SARIMAX,3.59,6.49,0.9037,0.6168,4232,14811,2117,52.83,4
1,Prophet,3.6,6.48,0.9039,0.6186,4232,14811,2117,52.83,6
1,Naive Persistence,3.6,6.67,0.8983,0.6153,4232,14811,2117,52.83,6
1,Seasonal Naive (7d),10.55,15.91,0.4211,0.3861,4232,14811,2117,52.83,8
24,Seasonal Naive (7d),10.54,15.91,0.421,0.3865,4228,14795,2114,106.67,1
24,Random Forest,11.47,15.33,0.4629,0.3188,4228,14795,2114,106.67,2
24,Linear Regression,12.18,16.11,0.4069,0.3216,4228,14795,2114,106.67,3
24,XGBoost,12.29,16.22,0.3985,0.306,4228,14795,2114,106.67,4
24,LightGBM,12.33,16.26,0.3952,0.3014,4228,14795,2114,106.67,5
24,Naive Persistence,12.66,17.83,0.273,0.3353,4228,14795,2114,106.67,6
24,SARIMAX,13.97,18.06,0.2543,0.2621,4228,14795,2114,106.67,7
24,Prophet,15.69,20.64,0.0254,0.2186,4228,14795,2114,106.67,8
48,Seasonal Naive (7d),10.55,15.92,0.4206,0.3865,4223,14779,2111,87.02,1
48,Linear Regression,14.05,17.93,0.2655,0.2776,4223,14779,2111,87.02,2
48,Naive Persistence,15.07,20.87,0.0043,0.2668,4223,14779,2111,87.02,3
48,SARIMAX,16.3,20.07,0.0797,0.228,4223,14779,2111,87.02,4
48,LightGBM,16.37,20.79,0.0118,0.2318,4223,14779,2111,87.02,5
48,Random Forest,16.47,20.93,-0.0009,0.2308,4223,14779,2111,87.02,6
48,XGBoost,16.53,21.07,-0.0151,0.2283,4223,14779,2111,87.02,7
48,Prophet,24.04,29.25,-0.9552,0.0925,4223,14779,2111,87.02,8
72,Seasonal Naive (7d),10.56,15.93,0.42,0.3866,4218,14762,2109,115.04,1
72,Linear Regression,14.72,18.74,0.1972,0.2599,4218,14762,2109,115.04,2
72,Naive Persistence,16.91,23.78,-0.2921,0.2415,4218,14762,2109,115.04,3
72,SARIMAX,17.51,21.4,-0.0467,0.2037,4218,14762,2109,115.04,4
72,LightGBM,17.78,22.59,-0.1663,0.2263,4218,14762,2109,115.04,5
72,XGBoost,18.17,23.08,-0.2178,0.222,4218,14762,2109,115.04,6
72,Random Forest,19.56,25.23,-0.4551,0.2188,4218,14762,2109,115.04,7
72,Prophet,23.97,29.78,-1.0265,0.0932,4218,14762,2109,115.04,8
